Model,Cores,Threads,Base Clock (GHz),Boost Clock (GHz),TDP (W),Socket,Platform,Integrated Graphics,L3 Cache (MB),Manufacturer
Intel® Core™ i5-L16G7 Processor,5.0,5.0,1.4,3.0,0.0,FC-CSP1016,Laptop,Intel® UHD Graphics,4.0,Intel
Intel® Pentium® Gold Processor 8500,5.0,6.0,0.0,4.4,9.0,N/A,Laptop,Intel® UHD Graphics for 12th Gen Intel® Processors,8.0,Intel
Intel® Pentium® Gold Processor 8505,5.0,6.0,0.0,4.4,15.0,FCBGA1744,Laptop,Intel® UHD Graphics for 12th Gen Intel® Processors,8.0,Intel
Intel® Pentium® Gold Processor 8505,5.0,6.0,0.0,4.4,15.0,FCBGA1744,Laptop,Intel® UHD Graphics for 12th Gen Intel® Processors,8.0,Intel
Intel® Processor U300,5.0,6.0,0.0,4.4,15.0,FCBGA1744,Laptop,Intel® UHD Graphics for 13th Gen Intel® Processors,8.0,Intel
Intel® Processor U300E,5.0,6.0,1.1,4.3,15.0,FCBGA1744,Other,Intel® UHD Graphics for 13th Gen Intel® Processors,8.0,Intel
Intel Atom® Processor C2508,4.0,4.0,1.25,0.0,0.0,FCBGA1283,Other,None,2.0,Intel
Intel Atom® Processor C2516,4.0,4.0,1.4,0.0,0.0,FCBGA1283,Other,None,2.0,Intel
Intel Atom® Processor C2518,4.0,4.0,1.7,0.0,0.0,FCBGA1283,Other,None,2.0,Intel
Intel Atom® Processor C2530,4.0,4.0,1.7,2.4,0.0,FCBGA1283,Server,None,2.0,Intel
Intel Atom® Processor C2538,4.0,4.0,2.4,0.0,0.0,FCBGA1283,Other,None,2.0,Intel
Intel Atom® Processor C2550,4.0,4.0,2.4,2.6,0.0,FCBGA1283,Server,None,2.0,Intel
Intel Atom® Processor C2558,4.0,4.0,2.4,0.0,0.0,FCBGA1283,Other,None,2.0,Intel
Intel Atom® Processor C3436L,4.0,4.0,1.3,0.0,0.0,FCBGA1310,Server,None,8.0,Intel
Intel Atom® Processor C3508,4.0,4.0,1.6,1.6,0.0,FCBGA1310,Server,None,8.0,Intel
Intel Atom® Processor C3538,4.0,4.0,2.1,2.1,0.0,FCBGA1310,Server,None,8.0,Intel
Intel Atom® Processor C3558,4.0,4.0,2.2,2.2,0.0,FCBGA1310,Server,None,8.0,Intel
Intel Atom® Processor C3558R,4.0,4.0,2.4,0.0,0.0,FCBGA1310,Server,None,8.0,Intel
Intel Atom® Processor C5115,4.0,4.0,2.8,0.0,0.0,FCBGA2106,Server,None,9.0,Intel
Intel Atom® Processor C5310,4.0,4.0,1.6,0.0,0.0,FCBGA2106,Server,None,9.0,Intel
Intel Atom® Processor C5315,4.0,4.0,2.4,0.0,0.0,FCBGA2106,Server,None,9.0,Intel
Intel Atom® Processor E3845,4.0,4.0,1.91,0.0,0.0,FCBGA1170,Other,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3530,4.0,0.0,0.0,0.0,0.0,FC-MB5T1064,Laptop,None,2.0,Intel
Intel Atom® Processor Z3560,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel Atom® Processor Z3570,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel Atom® Processor Z3580,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel Atom® Processor Z3590,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel Atom® Processor Z3735D,4.0,0.0,1.33,0.0,0.0,N/A,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3735E,4.0,0.0,1.33,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3735F,4.0,0.0,1.33,0.0,0.0,UTFCBGA592,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3735G,4.0,0.0,1.33,0.0,0.0,UTFCBGA592,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3736F,4.0,0.0,1.33,0.0,0.0,UTFCBGA592,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3736G,4.0,0.0,1.33,0.0,0.0,UTFCBGA592,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3740,4.0,0.0,1.33,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3740D,4.0,0.0,1.33,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3745,4.0,0.0,1.33,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3745D,4.0,0.0,1.33,0.0,0.0,N/A,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3770,4.0,0.0,1.46,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3770D,4.0,0.0,1.5,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3775,4.0,0.0,1.46,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3775D,4.0,0.0,1.49,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3785,4.0,0.0,1.49,0.0,0.0,N/A,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® Processor Z3795,4.0,0.0,1.59,0.0,0.0,UTFCBGA1380,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel Atom® x3-C3200RK Processor,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,1.0,Intel
Intel Atom® x3-C3205RK Processor,4.0,0.0,0.0,0.0,0.0,VF2BGA361,Laptop,None,1.0,Intel
Intel Atom® x3-C3230RK Processor,4.0,0.0,0.0,0.0,0.0,N/A,Laptop,None,1.0,Intel
Intel Atom® x3-C3235RK Processor,4.0,0.0,0.0,0.0,0.0,VF2BGA361,Laptop,None,1.0,Intel
Intel Atom® x3-C3265RK Processor,4.0,0.0,0.0,0.0,0.0,VF2BGA361,Laptop,None,1.0,Intel
Intel Atom® x3-C3295RK Processor,4.0,0.0,0.0,0.0,0.0,VF2BGA361,Laptop,None,1.0,Intel
Intel Atom® x3-C3405 Processor,4.0,0.0,1.2,0.0,0.0,N/A,Laptop,None,1.0,Intel
Intel Atom® x3-C3445 Processor,4.0,0.0,1.2,0.0,0.0,N/A,Laptop,None,1.0,Intel
Intel Atom® x5-E3940 Processor,4.0,4.0,1.6,0.0,0.0,FCBGA1296,Other,Intel® HD Graphics 500,2.0,Intel
Intel Atom® x5-E8000 Processor,4.0,4.0,1.04,0.0,0.0,FCBGA1170,Other,Intel® HD Graphics for Intel® Celeron® Processor N3000 Series,2.0,Intel
Intel Atom® x5-Z8300 Processor,4.0,0.0,1.44,0.0,0.0,UTFCBGA592,Laptop,None,2.0,Intel
Intel Atom® x5-Z8330 Processor,4.0,0.0,1.44,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel Atom® x5-Z8350 Processor,4.0,0.0,1.44,0.0,0.0,UTFCBGA592,Laptop,None,2.0,Intel
Intel Atom® x5-Z8500 Processor,4.0,0.0,1.44,0.0,0.0,UTFCBGA1380,Laptop,None,2.0,Intel
Intel Atom® x5-Z8550 Processor,4.0,0.0,1.44,0.0,0.0,UTFCBGA1380,Laptop,None,2.0,Intel
Intel Atom® x6413E Processor,4.0,4.0,1.5,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x6414RE Processor,4.0,4.0,1.5,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x6416RE Processor,4.0,4.0,1.7,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x6425E Processor,4.0,4.0,2.0,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x6425RE Processor,4.0,4.0,1.9,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x6427FE Processor,4.0,4.0,1.9,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel Atom® x7-E3950 Processor,4.0,4.0,1.6,0.0,0.0,FCBGA1296,Other,Intel® HD Graphics 505,2.0,Intel
Intel Atom® x7-Z8700 Processor,4.0,0.0,1.6,0.0,0.0,UTFCBGA1380,Laptop,None,2.0,Intel
Intel Atom® x7-Z8750 Processor,4.0,0.0,1.6,0.0,0.0,UTFCBGA1380,Laptop,None,2.0,Intel
Intel Atom® x7425E,4.0,0.0,0.0,3.4,0.0,FCBGA1264,Other,Intel® UHD Graphics,6.0,Intel
Intel® Celeron® J4105 Processor,4.0,4.0,1.5,0.0,0.0,FCBGA1090,Laptop,Intel® UHD Graphics 600,4.0,Intel
Intel® Celeron® Processor J1850,4.0,4.0,2.0,0.0,0.0,FCBGA1170,Desktop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor J1900,4.0,4.0,2.0,0.0,0.0,FCBGA1170,Desktop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor J3160,4.0,4.0,1.6,0.0,0.0,FCBGA1170,Desktop,None,2.0,Intel
Intel® Celeron® Processor J3455,4.0,4.0,1.5,0.0,0.0,FCBGA1296,Desktop,Intel® HD Graphics 500,2.0,Intel
Intel® Celeron® Processor J3455E,4.0,4.0,1.5,2.3,0.0,N/A,Desktop,Intel® HD Graphics 500,2.0,Intel
Intel® Celeron® Processor J4125,4.0,4.0,2.0,0.0,0.0,FCBGA1090,Laptop,Intel® UHD Graphics 600,4.0,Intel
Intel® Celeron® Processor J6412,4.0,4.0,2.0,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel® Celeron® Processor J6413,4.0,4.0,1.8,0.0,0.0,FCBGA1493,Other,Intel® UHD Graphics for 10th Gen Intel® Processors,1.5,Intel
Intel® Celeron® Processor N2910,4.0,4.0,1.6,0.0,0.0,FCBGA1170,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor N2920,4.0,4.0,1.86,0.0,0.0,FCBGA1170,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor N2930,4.0,4.0,1.83,0.0,0.0,FCBGA1170,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor N2940,4.0,4.0,1.83,0.0,0.0,FCBGA1170,Laptop,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,2.0,Intel
Intel® Celeron® Processor N3150,4.0,4.0,1.6,0.0,0.0,FCBGA1170,Laptop,Intel® HD Graphics for Intel® Celeron® Processor N3000 Series,2.0,Intel
Intel® Celeron® Processor N3160,4.0,4.0,1.6,0.0,0.0,FCBGA1170,Laptop,None,2.0,Intel
Intel® Celeron® Processor N3450,4.0,4.0,1.1,0.0,0.0,FCBGA1296,Laptop,Intel® HD Graphics 500,2.0,Intel
Intel® Celeron® Processor N4100,4.0,4.0,1.1,0.0,0.0,FCBGA1090,Laptop,Intel® UHD Graphics 600,4.0,Intel
Intel® Celeron® Processor N4120,4.0,4.0,1.1,0.0,0.0,FCBGA1090,Laptop,Intel® UHD Graphics 600,4.0,Intel
Intel® Celeron® Processor N5100,4.0,4.0,1.1,0.0,0.0,FCBGA1338,Laptop,Intel® UHD Graphics,4.0,Intel
Intel® Celeron® Processor N5105,4.0,4.0,2.0,0.0,0.0,FCBGA1338,Laptop,Intel® UHD Graphics,4.0,Intel
Intel® Core™ i3-10100 Processor,4.0,8.0,3.6,4.3,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10100E Processor,4.0,8.0,3.2,3.8,0.0,FCLGA1200,Other,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10100F Processor,4.0,8.0,3.6,4.3,0.0,FCLGA1200,Desktop,None,6.0,Intel
Intel® Core™ i3-10100T Processor,4.0,8.0,3.0,3.8,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10100TE Processor,4.0,8.0,2.3,3.6,0.0,FCLGA1200,Other,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10105 Processor,4.0,8.0,3.7,4.4,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10105F Processor,4.0,8.0,3.7,4.4,0.0,FCLGA1200,Desktop,None,6.0,Intel
Intel® Core™ i3-10105T Processor,4.0,8.0,3.0,3.9,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-10300 Processor,4.0,8.0,3.7,4.4,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-10300T Processor,4.0,8.0,3.0,3.9,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-10305 Processor,4.0,8.0,3.8,4.5,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-10305T Processor,4.0,8.0,3.0,4.0,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-10320 Processor,4.0,8.0,3.8,4.6,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-10325 Processor,4.0,8.0,3.9,4.7,0.0,FCLGA1200,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-11100HE Processor,4.0,8.0,0.0,4.4,0.0,FCBGA1787,Other,Intel® UHD Graphics for 11th Gen Intel® Processors,8.0,Intel
Intel® Core™ i3-1120G4 Processor,4.0,8.0,0.0,3.5,0.0,FCBGA1598,Laptop,Intel® UHD Graphics for 11th Gen Intel® Processors,8.0,Intel
Intel® Core™ i3-1125G4 Processor,4.0,8.0,0.0,3.7,0.0,FCBGA1449,Laptop,Intel® UHD Graphics for 11th Gen Intel® Processors,8.0,Intel
Intel® Core™ i3-1125G4 Processor,4.0,8.0,0.0,3.7,0.0,FCBGA1449,Laptop,Intel® UHD Graphics for 11th Gen Intel® Processors,8.0,Intel
Intel® Core™ i3-12100 Processor,4.0,8.0,0.0,4.3,60.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-12100E Processor,4.0,8.0,0.0,4.2,60.0,FCLGA1700,Other,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-12100F Processor,4.0,8.0,0.0,4.3,58.0,FCLGA1700,Desktop,None,12.0,Intel
Intel® Core™ i3-12100T Processor,4.0,8.0,0.0,4.1,35.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-12100TE Processor,4.0,8.0,0.0,4.0,35.0,FCLGA1700,Other,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-12300 Processor,4.0,8.0,0.0,4.4,60.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-12300T Processor,4.0,8.0,0.0,4.2,35.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-13100 Processor,4.0,8.0,0.0,4.5,60.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-13100E Processor,4.0,8.0,3.3,4.4,65.0,FCLGA1700,Other,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-13100F Processor,4.0,8.0,0.0,4.5,58.0,FCLGA1700,Desktop,None,12.0,Intel
Intel® Core™ i3-13100T Processor,4.0,8.0,0.0,4.2,35.0,FCLGA1700,Desktop,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-13100TE Processor,4.0,8.0,2.4,4.1,35.0,FCLGA1700,Other,Intel® UHD Graphics 730,12.0,Intel
Intel® Core™ i3-8100 Processor,4.0,4.0,3.6,0.0,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-8100B Processor,4.0,4.0,3.6,0.0,0.0,FCBGA1440,Laptop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-8100H Processor,4.0,4.0,3.0,0.0,0.0,FCBGA1440,Laptop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-8100T Processor,4.0,4.0,3.1,0.0,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-8300 Processor,4.0,4.0,3.7,0.0,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-8300T Processor,4.0,4.0,3.2,0.0,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-8350K Processor,4.0,4.0,4.0,0.0,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-9100 Processor,4.0,4.0,3.6,4.2,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-9100E Processor,4.0,4.0,3.1,3.7,0.0,FCLGA1151,Other,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-9100F Processor,4.0,4.0,3.6,4.2,0.0,FCLGA1151,Desktop,None,6.0,Intel
Intel® Core™ i3-9100HL Processor,4.0,4.0,1.6,2.9,0.0,FCBGA1440,Other,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-9100T Processor,4.0,4.0,3.1,3.7,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-9100TE Processor,4.0,4.0,2.2,3.2,0.0,FCLGA1151,Other,Intel® UHD Graphics 630,6.0,Intel
Intel® Core™ i3-9300 Processor,4.0,4.0,3.7,4.3,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-9300T Processor,4.0,4.0,3.2,3.8,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-9320 Processor,4.0,4.0,3.7,4.4,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-9350K Processor,4.0,4.0,4.0,4.6,0.0,FCLGA1151,Desktop,Intel® UHD Graphics 630,8.0,Intel
Intel® Core™ i3-9350KF Processor,4.0,4.0,4.0,4.6,0.0,FCLGA1151,Desktop,None,8.0,Intel
Intel® Core™ i5-10200H Processor,4.0,8.0,2.4,4.1,0.0,FCBGA1440,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,8.0,Intel
Intel® Core™ i5-10210U Processor,4.0,8.0,1.6,4.2,0.0,FCBGA1528,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,6.0,Intel
Intel® Core™ i5-10210Y Processor,4.0,8.0,1.0,4.0,0.0,UTFCBGA1377,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,6.0,Intel
Intel® Core™ i5-10300H Processor,4.0,8.0,2.5,4.5,0.0,FCBGA1440,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,8.0,Intel
Intel® Core™ i5-10310U Processor,4.0,8.0,1.7,4.4,0.0,FCBGA1528,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,6.0,Intel
Intel® Core™ i5-10310Y Processor,4.0,8.0,1.1,4.1,0.0,UTFCBGA1377,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,6.0,Intel
Intel® Core™ i5-1035G1 Processor,4.0,8.0,1.0,3.6,0.0,FCBGA1526,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,6.0,Intel
Intel® Core™ i5-1035G4 Processor,4.0,8.0,1.1,3.7,0.0,FCBGA1526,Laptop,Intel® Iris® Plus Graphics,6.0,Intel
Intel® Core™ i5-1035G7 Processor,4.0,8.0,1.2,3.7,0.0,FCBGA1526,Laptop,Intel® Iris® Plus Graphics,6.0,Intel
Intel® Core™ i5-10400H Processor,4.0,8.0,2.6,4.6,0.0,FCBGA1440,Laptop,Intel® UHD Graphics for 10th Gen Intel® Processors,8.0,Intel
Intel® Core™ i5-11300H Processor,4.0,8.0,0.0,4.4,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1130G7 Processor,4.0,8.0,0.0,4.0,0.0,FCBGA1598,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-11320H Processor,4.0,8.0,0.0,4.5,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics eligible,8.0,Intel
Intel® Core™ i5-1135G7 Processor,4.0,8.0,0.0,4.2,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1135G7 Processor,4.0,8.0,0.0,4.2,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1140G7 Processor,4.0,8.0,0.0,4.2,0.0,FCBGA1598,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1145G7 Processor,4.0,8.0,0.0,4.4,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1145G7E Processor,4.0,8.0,1.5,4.1,0.0,FCBGA1449,Other,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1145GRE Processor,4.0,8.0,1.5,4.1,0.0,FCBGA1449,Other,Intel® Iris® Xe Graphics,8.0,Intel
Intel® Core™ i5-1155G7 Processor,4.0,8.0,0.0,4.5,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics eligible,8.0,Intel
Intel® Core™ i5-1155G7 Processor,4.0,8.0,0.0,4.5,0.0,FCBGA1449,Laptop,Intel® Iris® Xe Graphics eligible,8.0,Intel
Intel® Core™ i5-2300 Processor,4.0,4.0,2.8,3.1,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2310 Processor,4.0,4.0,2.9,3.2,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2320 Processor,4.0,4.0,3.0,3.3,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2380P Processor,4.0,4.0,3.1,3.4,0.0,LGA1155,Desktop,None,6.0,Intel
Intel® Core™ i5-2400 Processor,4.0,4.0,3.1,3.4,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2400S Processor,4.0,4.0,2.5,3.3,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2405S Processor,4.0,4.0,2.5,3.3,0.0,LGA1155. FCLGA1155,Desktop,Intel® HD Graphics 3000,6.0,Intel
Intel® Core™ i5-2450P Processor,4.0,4.0,3.2,3.5,0.0,LGA1155,Desktop,None,6.0,Intel
Intel® Core™ i5-2500 Processor,4.0,4.0,3.3,3.7,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2500K Processor,4.0,4.0,3.3,3.7,0.0,LGA1155,Desktop,Intel® HD Graphics 3000,6.0,Intel
Intel® Core™ i5-2500S Processor,4.0,4.0,2.7,3.7,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2500T Processor,4.0,4.0,2.3,3.3,0.0,LGA1155,Desktop,Intel® HD Graphics 2000,6.0,Intel
Intel® Core™ i5-2550K Processor,4.0,4.0,3.4,3.8,0.0,LGA1155,Desktop,None,6.0,Intel
Intel® Core™ i5-3330 Processor,4.0,4.0,3.0,3.2,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3330S Processor,4.0,4.0,2.7,3.2,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3340 Processor,4.0,4.0,3.1,3.3,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3340S Processor,4.0,4.0,2.8,3.3,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3350P Processor,4.0,4.0,3.1,3.3,0.0,FCLGA1155,Desktop,None,6.0,Intel
Intel® Core™ i5-3450 Processor,4.0,4.0,3.1,3.5,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3450S Processor,4.0,4.0,2.8,3.5,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3470 Processor,4.0,4.0,3.2,3.6,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3470S Processor,4.0,4.0,2.9,3.6,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3475S Processor,4.0,4.0,2.9,3.6,0.0,FCLGA1155,Desktop,Intel® HD Graphics 4000,6.0,Intel
Intel® Core™ i5-3550 Processor,4.0,4.0,3.3,3.7,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3550S Processor,4.0,4.0,3.0,3.7,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3570 Processor,4.0,4.0,3.4,3.8,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3570K Processor,4.0,4.0,3.4,3.8,0.0,FCLGA1155,Desktop,Intel® HD Graphics 4000,6.0,Intel
Intel® Core™ i5-3570S Processor,4.0,4.0,3.1,3.8,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-3570T Processor,4.0,4.0,2.3,3.3,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,6.0,Intel
Intel® Core™ i5-4430 Processor,4.0,4.0,3.0,3.2,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
Intel® Core™ i5-4430S Processor,4.0,4.0,2.7,3.2,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
Intel® Core™ i5-4440 Processor,4.0,4.0,3.1,3.3,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
Intel® Core™ i5-4440S Processor,4.0,4.0,2.8,3.3,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
Intel® Core™ i5-4460 Processor,4.0,4.0,3.2,3.4,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
Intel® Core™ i5-4460S Processor,4.0,4.0,2.9,3.4,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,6.0,Intel
